image_id,sequence,sha256,width,height,original_name,docx_media_path,extracted_path,previous_text,next_text,nearest_heading
nb_img_001,1,c7c169a29cc85886e51047b788963f50b6195343e05e0b2b80409a363f99aaec,2500,2500,image2.png,word/media/image2.png,_work/correction/extract/notebook_images/notebook_img_001_image2.png,,KARABÜK ÜNİVERSİTESİ,
nb_img_002,2,89c856c45fb5f4340ae7fcb4e67d12de58272052d01b47ee5875faf94b33d30c,164,198,image3.png,word/media/image3.png,_work/correction/extract/notebook_images/notebook_img_002_image3.png,Öğrencinin İmzası:,Staj Yapılan İş Yeri,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_003,3,026f16394075e11a5d0addedf233ee7d9058dde59506c8d6c90028ea05938db6,1151,315,image4.jpg,word/media/image4.jpg,_work/correction/extract/notebook_images/notebook_img_003_image4.jpg,"Siemens Enerji, 2020 yılında kurulan yeni bir şirket olsa da köklerini 1866 yılından beri faaliyetine devam Siemens’ten alıyor. 90 ülkede 90 bin çalışanı var. Şirketin örgütsel yapısı ise şöyledir.","Generation Bölümü: Elektrik enerjisi üretmek için kullanılan büyük gaz ve buhar türbinleri, jeneratörler, anahtar-teslimi enerji santralleri, kontrol sistemleri, bu güç santrallerinin bakım ve tamiri, modernleştirme ve dijitalleştirme hizm…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_004,4,dff876bcdb5ad77d4f3f50d48d69ae8177fb13e2be3a093c9036fb37f06869ca,635,323,image5.jpg,word/media/image5.jpg,_work/correction/extract/notebook_images/notebook_img_004_image5.jpg,Siemens & Halske Telgraf yapım şirketi olarak 1847 yılında Berlin’de kuruldu. Kuruluşundan sadece 11 yıl (1856’da) sonra ülkemizdeki (Osmanlı İmparatorluğu’nda) ilk telgraf sistemini kurarak faaliyetlerine başladı. Döneminin interneti sayı…,[1],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_005,5,6574085c798d2e316ce790e6cf1be1592c44b730df33f4739a50e92e2983cfed,766,583,image6.jpg,word/media/image6.jpg,_work/correction/extract/notebook_images/notebook_img_005_image6.jpg,"Enerji Bakanlığı’nın Termik ve Hidroelektrik Santrallerinde Enerji Verimliliği (2020) adlı araştırma raporundan bir sonuç, Elektrik Santrali’nin 69 yaşında iken emekli edilmesini açıklıyor olabilir. [2]",İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_006,6,a01f1c6499c3a4bb2a8d0173c89020380dde4092bb04aeff9010132bb39c931a,293,293,image7.jpeg,word/media/image7.jpeg,_work/correction/extract/notebook_images/notebook_img_006_image7.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_007,7,4bccb0e687511f4ee530197d2f6728efefd6aa992ce8094a077a6a777efcdef4,517,292,image8.jpeg,word/media/image8.jpeg,_work/correction/extract/notebook_images/notebook_img_007_image8.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_008,8,7ef036919e65532ca94c174c45c5e03eace67e4731840757aecd1c5149668b93,657,433,image9.jpeg,word/media/image9.jpeg,_work/correction/extract/notebook_images/notebook_img_008_image9.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_009,9,d9f62dca96685c713996471213e85097b8c1055b13e8d581704fa11731ba2e56,570,320,image10.jpeg,word/media/image10.jpeg,_work/correction/extract/notebook_images/notebook_img_009_image10.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_010,10,f4d559b7e762f1cd142e9fa466967a4d2f66189eae9a90090bcfd170abacf085,607,405,image11.jpeg,word/media/image11.jpeg,_work/correction/extract/notebook_images/notebook_img_010_image11.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_011,11,ba9b2ae3b998155035f4c84144aca3fa177d0b5d3878de1ff87cb75277fbf7db,679,414,image12.jpeg,word/media/image12.jpeg,_work/correction/extract/notebook_images/notebook_img_011_image12.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_012,12,923cd86747bfa80359d4d9a7c2a0ee87dd861aed7a54de674c96de08e0a89b7e,528,351,image13.jpeg,word/media/image13.jpeg,_work/correction/extract/notebook_images/notebook_img_012_image13.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_013,13,a47bae319245cb9eb26ffdfc6c088fb7b18df6050c616cc87fc0128932680415,546,409,image14.jpeg,word/media/image14.jpeg,_work/correction/extract/notebook_images/notebook_img_013_image14.jpeg,Siemens’in ürünleri ile çalışan Silahtarağa Elektrik Santrali ve onun günümüzdeki modern izdüşümü,İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_014,14,8805e6e9bd0a6b8d54a655d083e78ba32ff432ba06c34a7aa86cf6177006ecbc,250,113,image15.jpg,word/media/image15.jpg,_work/correction/extract/notebook_images/notebook_img_014_image15.jpg,Eskişehir ve Turhal Şeker Fabrikalarının Buhar Türbinleri (1935),"Eskişehir Şeker Fabrikası'ndan emekli olmuş bir çalışanın, konuyla ilgili, ilk elden tanık olduğu bir olayı yazmak istiyorum. * :? İki nokta mı olmalı?","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_015,15,bdb2e995060d1563c055e658d3aad8a91a52b350979b6dcf9421c03c7ced09e8,360,240,image16.jpeg,word/media/image16.jpeg,_work/correction/extract/notebook_images/notebook_img_015_image16.jpeg,[4]Almanların kalite anlayışına bir de sevimli olmayan bir örnek vermek istiyorum. 2.Dünya Savaşı sırasında alman savunma sanayii ürünlerinin kalitesi kendileri açısından bir sorun bile yaratmış. Fabrikadan çıkar çıkmaz cepheye sevk edilen…,Ambarlı Termik Santrali(1989),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_016,16,163b5b84eea016c989c3b08769afbaa670d78f8966c9ef257a6b5341fac57ffe,510,216,image17.jpeg,word/media/image17.jpeg,_work/correction/extract/notebook_images/notebook_img_016_image17.jpeg,[4]Almanların kalite anlayışına bir de sevimli olmayan bir örnek vermek istiyorum. 2.Dünya Savaşı sırasında alman savunma sanayii ürünlerinin kalitesi kendileri açısından bir sorun bile yaratmış. Fabrikadan çıkar çıkmaz cepheye sevk edilen…,Ambarlı Termik Santrali(1989),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_017,17,a7e09ff54bfe0019b7c70f3f170699847f6696709879ebcb021a32528261b2cf,427,263,image18.jpeg,word/media/image18.jpeg,_work/correction/extract/notebook_images/notebook_img_017_image18.jpeg,[4]Almanların kalite anlayışına bir de sevimli olmayan bir örnek vermek istiyorum. 2.Dünya Savaşı sırasında alman savunma sanayii ürünlerinin kalitesi kendileri açısından bir sorun bile yaratmış. Fabrikadan çıkar çıkmaz cepheye sevk edilen…,Ambarlı Termik Santrali(1989),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_018,18,87884d8bed98ef0ea335705c0779950256618f76cfb455cc489788b8fab44506,109,291,image19.jpeg,word/media/image19.jpeg,_work/correction/extract/notebook_images/notebook_img_018_image19.jpeg,[4]Almanların kalite anlayışına bir de sevimli olmayan bir örnek vermek istiyorum. 2.Dünya Savaşı sırasında alman savunma sanayii ürünlerinin kalitesi kendileri açısından bir sorun bile yaratmış. Fabrikadan çıkar çıkmaz cepheye sevk edilen…,Ambarlı Termik Santrali(1989),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_019,19,fc53432482406841997640cc5158e008668e7261c157f32ecf61bef58a7113e8,281,275,image20.jpeg,word/media/image20.jpeg,_work/correction/extract/notebook_images/notebook_img_019_image20.jpeg,[4]Almanların kalite anlayışına bir de sevimli olmayan bir örnek vermek istiyorum. 2.Dünya Savaşı sırasında alman savunma sanayii ürünlerinin kalitesi kendileri açısından bir sorun bile yaratmış. Fabrikadan çıkar çıkmaz cepheye sevk edilen…,Ambarlı Termik Santrali(1989),"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_020,20,12dbdf18c195f9f8c01b7902fb2a85292bb735ec84e8404c7cf34dc72e0b360e,353,350,image21.jpg,word/media/image21.jpg,_work/correction/extract/notebook_images/notebook_img_020_image21.jpg,"Siemens Enerji’nin 2021 yılına ait gelir, gider ve birikmiş sipariş rakamları aşağıdaki gibidir.","(Order Backlog) Birikmiş Sipariş: değerinin yüksek olmasının önemli olduğu, şirket yakın dönemde yeni sipariş almasa dahi, uzun dönemli bakım anlaşmalarının çok olmasının, şirketi mali açıdan sağlam kılıp kırılganlığını azalttığı türünden…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_021,21,93e35736332db1533844706e823c0d87c1a05db5a446754502e2aadf8c9fba08,415,234,image22.jpeg,word/media/image22.jpeg,_work/correction/extract/notebook_images/notebook_img_021_image22.jpeg,"(Orders) Sipariş ve Revenue Gelir rakamlarını, ilk okuduğumda, şirketin ne kadar büyük olduğunu anlayamamıştım. Tek başına rakamlar, o alanın uzmanı olmayan birisi için çok da anlamlı olmayabilir. Bilinmeyen bir şeyi, bilinen bir şey ile k…","Resimdeki küçük elektronik cihaz, üreticisi tarafından “TINY GPS LOGGER FOR THE INTERNET OF ANIMALS” etiketiyle satılıyor. Muhtemelen bu ürün, rakiplerinden küçüklük özelliği açısından öndedir. Çünkü potansiyel müşterilerinin, ürünün ne ka…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_022,22,7830a148f776e28f7b5de338d5a1dbcd0e0b5dad84701677c821de5b2b60008c,473,265,image23.jpg,word/media/image23.jpg,_work/correction/extract/notebook_images/notebook_img_022_image23.jpg,"Bir dinozor bilimci ya da bir Celal Şengör Hoca değilsek, yukarıdaki [3] dinozor türlerinin büyüklüklerini ölçekli insan şekli olmadan anlamamız kolay olmazdı.",İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_023,23,b7a8df2073e2a6cde6efa62205362c9931952d9bf1351fbe2cc7138e6b2f9d06,466,166,image24.jpeg,word/media/image24.jpeg,_work/correction/extract/notebook_images/notebook_img_023_image24.jpeg,?,"Siemens Enerji ile aynı büyüklükte ciro yapan (30 Milyar EURO) bir şirket bulmak için İstanbul Sanayi Odası’nın ‘Türkiye’nin En Büyük İlk 500 Şirketi’nin sıralandığı iso500 dizinine baktım. Fakat, denklemin sağ tarafına, iso500’un [4]bir n…","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
